ID,zh-CN (原文),en-US (译文)
7e436557-adf4-4b58-9239-e94e14dc136d,Sheet1,Sheet1
76fcff44-7a25-4a36-9f21-641fcef9b265,咖啡加点糖,Add Some Sugar to the Coffee
1a3e064c-239f-4e4d-b09a-e17659c4328e,女频,Female-Oriented
7cdb9a9d-507b-4262-9af4-22f23197d05f,"神秘人李元硕，为了给昏迷不醒的儿子报仇，特重金雇佣了国际赏金猎人——李明哲去折磨伤害他儿子的女人甯佳，因为李元硕并不知道儿子是一厢情愿的事实，怀恨久已的李元硕开始他的报复行动——要让甯佳尝尝被所爱之人抛弃的悲伤。
真相是李元硕的儿子疯狂追求甯佳，甯佳委婉拒绝了。珺妍怕李元硕儿子纠缠甯佳，撒谎说，甯佳已经订婚了。李元硕儿子听到珺妍的话心情低落。在过马路的时候，不幸被车撞伤，至今躺在医院未醒，虽然不是甯佳所伤，但是要不是她，李元硕的儿子不会遇到车祸。
一个天生拥有资源懂得人性的男人，自然而然的会把每一个女人看成自己的猎物，在目的的驱使下接近女人，但往往高级的猎人都是以猎物的形态出现的......最后谁赢了？","The mysterious Li Yuanshuo, determined to avenge his comatose son, spends a fortune hiring an international bounty hunter—Li Mingzhe—to torment Ning Jia, the woman he believes harmed his son. Unaware that his son's feelings were one-sided, Li Yuanshuo sets his long-brewing retaliation in motion—to make Ning Jia taste the sorrow of being abandoned by the one she loves.

The truth is that Li Yuanshuo's son pursued Ning Jia obsessively, and she turned him down tactfully. Afraid he would keep harassing her, Junyan lied that Ning Jia was already engaged. Hearing this, the son was devastated. While crossing the street, he was hit by a car and has remained unconscious in the hospital ever since. Although Ning Jia did not injure him, Li Yuanshuo believes that if not for her, his son would never have been in that accident.

A man born with resources and a keen grasp of human nature will instinctively treat every woman as prey, drawing close with an agenda—yet the best hunters often appear in the guise of prey... In the end, who wins?"
6f315924-09cb-42b7-a320-6fc313e04c14,寒门小书生,The Humble Young Scholar
05691a3a-4d2e-41c1-8dde-dc95d052747f,男频,Male-Oriented
cb2faeea-9748-4959-9d8c-8b15544769ad,身为理工男的王宇被拜金女抛弃后发生了车祸，意外穿越到大康王朝迷糊间醒来，发现自己躺在一间茅草屋内。此时的大康人丁凋敝，为了增加人口，村长召集村里的未婚壮丁进行选妻，王宇对李兮若一见钟情，两人成为夫妻，但是前身是败家子的王宇却一贫如洗，恰逢恶霸刘有财前来讨债，王宇凭借后世丰富的经验，不断发家致富，带领村民与恶霸刘有财，恶少刘建业斗智斗勇，发明了一系列新颖的产品和政策，改变了大康的国运,"After being dumped by a gold-digging girlfriend, engineering-minded Wang Yu gets into a car accident and unexpectedly transmigrates to the Great Kang Dynasty. Waking up in a daze, he finds himself lying in a thatched hut. With the population dwindling, the village chief gathers the unmarried able-bodied men to choose wives in order to increase births. Wang Yu falls in love with Li Xiruo at first sight, and the two become husband and wife. But the original Wang Yu was a spendthrift, leaving them penniless. Just then, the local bully Liu Youcai arrives to collect debts. Relying on his knowledge from the future, Wang Yu builds wealth step by step, leading the villagers in a battle of wits and courage against Liu Youcai and the spoiled young master Liu Jianye. He develops a series of novel products and policies that ultimately change the fate of Great Kang."
f423bde7-7dfd-4122-b815-6e190bf5e6b8,霸总的泼天富贵,The CEO's Windfall Fortune
a32f4859-66c5-4ed8-bd72-c28156a5d2cd,男频,Male-Oriented
1abe3708-7785-40ca-935b-c3a95fe23836,凌氏与上官家族订婚宴上，凌霄被杀手刺杀倒在血泊中，在一阵眩光后，凌霄穿越回到了5年前的慈善晚会上，但是不巧的是穿越到的是平行世界，那个世界的凌霄是个公认的废材，私生子凌云目前掌管着凌氏集团的各个项目，就在凌云和文旅项目负责人唐德谈话时，凌霄阻止了项目进程，并且预言了项目会迁址。凌霄一回到凌氏集团就开始整顿公司风气，把公司蛮横的关系户都逐出公司，这一次将重建凌公子的雄风。,"At the engagement banquet of the Ling and Shangguan families, Ling Xiao is assassinated and collapses in a pool of blood. After a flash of blinding light, he travels back five years to a charity gala—only to discover he has landed in a parallel world, where this Ling Xiao is a notorious good-for-nothing. The illegitimate son Ling Yun currently controls the Ling Group's projects. While Ling Yun is speaking with Tang De, the person in charge of the cultural tourism project, Ling Xiao halts the project and predicts it will have to be relocated. Returning to the Group, Ling Xiao begins cleaning up the corporate culture, driving out the domineering well-connected insiders. This time, he will rebuild Young Master Ling's former glory."
49873e31-cb4c-42cc-a79c-4c07d175fe00,白日偷欢总裁又野又欲,Stealing Pleasure in Broad Daylight: The CEO Is Wild and Wanton
5d2b2d3c-723a-49c7-9d43-b8180c07f761,女频,Female-Oriented
3e1f6a37-52ad-4ec4-b94c-cd1b8b0edf9e,夏谨微因为爱慕季司辰，以和季司辰结婚为条件答应给季司辰的白月光顾瑶瑶捐肾，本以为结了婚就可以和季司辰绑在一起，但随后而来的是父亲离去，被迫捐肾等痛苦，夏谨微痛苦抽离时，季司辰却对夏谨微的感情发生了变化。,"Out of love for Ji Sichen, Xia Jinwei agrees to donate a kidney to Gu Yaoyao—Ji Sichen's first love—on the condition that Ji Sichen marries her. She believes marriage will bind them together, but what follows are hardships: her father's passing, the forced kidney donation, and more. As Xia Jinwei struggles to pull herself out of the pain, Ji Sichen's feelings toward her begin to change."
1b3975a7-700b-4205-a087-7239e4f94b92,穿到古代抢太子,Transmigrated to Ancient Times to Steal the Crown Prince
a3d0d16c-bba9-49f4-9e32-130900c7a5eb,男频,Male-Oriented
4e9fa756-aac3-4d35-b230-96fded342623,保安穿越古代废材太子张标，面对嫔妃与下人私通，他雷厉风行，用穿越一起带来的电棍解决下人，正欲对付嫔妃，皇后竟出现，带着打手想要先发制人，让自己这个太子背上莫须有的罪名，张标不再忍让，用电棍打败众人。可皇后一计不成，竟联合上柱国齐泰迷晕皇上，想要废了张标这个太子，危急之时，皇上醒来，屏退众人，垂问张标治国良方，以考验他。张标语出惊人，得以掌控朝中大全，他雷厉风行，抄没四大粮商，赈济灾民，正式与上柱国齐泰对抗。,"A security guard transmigrates into the ancient era as Zhang Biao, the ""useless"" crown prince. Confronted with a concubine having an affair with a servant, he acts decisively, using the electric baton that came with him through time to deal with the servant. Just as he is about to go after the concubine, the Empress appears with thugs, trying to strike first and pin fabricated charges on him. Zhang Biao refuses to back down and defeats them with the baton. When the Empress's scheme fails, she joins forces with the Pillar of the State, Qi Tai, to drug the Emperor, intending to depose Zhang Biao. At the critical moment, the Emperor awakens, dismisses everyone, and questions Zhang Biao on how to govern the realm as a test. Zhang Biao's startling answers win him real power at court. He moves swiftly, confiscates the assets of four major grain merchants, provides disaster relief, and formally takes the fight to Qi Tai."
4ea8cb8e-d0c4-4504-aad3-c75d79b92eae,嫡女重生权臣的掌心宠,Reborn Legitimate Daughter: The Powerful Minister's Darling
fc11e714-75f2-4ece-a553-ee3d00c60c1b,女频,Female-Oriented
